Owner,Batch Name,Sequence,Entity,Perm Val,User Tip,Contexts,Preferred CDE ID,Preferred CDE Version
Denise,Denise 1,1,ID,1,,,,
Denise,Denise 1,1,ID,2,,,,
Denise,Denise 1,1,ID,3,,,,
Denise,Denise 1,1,ID,4,,,,
Denise,Denise 1,1,ID,5,,,,
Denise,Denise 1,1,ID,6,,,,
Denise,Denise 1,1,ID,7,,,,
Denise,Denise 1,1,ID,8,,,,
Denise,Denise 1,1,ID,9,,,,
Denise,Denise 1,2,Agent administered,Acetaminpohen,,,,
Denise,Denise 1,2,Agent administered,Busulfan,,,,
Denise,Denise 1,2,Agent administered,Dexamethasone,,,,
Denise,Denise 1,2,Agent administered,GM-CSF,,,,
Denise,Denise 1,2,Agent administered,Methotrexate,,,,
Denise,Denise 1,2,Agent administered,Test,,,,
Denise,Denise 1,2,Agent administered,Placebo,,,,
Denise,Denise 1,3,Agent administered,No,,,,
Denise,Denise 1,3,Agent administered,Unknown,,,,
Denise,Denise 1,3,Agent administered,Yes,,,,
Denise,Denise 1,4,Assessment Site,Celiac,,,,
Denise,Denise 1,4,Assessment Site,Liver,,,,
Denise,Denise 1,4,Assessment Site,Omentum,,,,
Denise,Denise 1,4,Assessment Site,Ovaries,,,,
Denise,Denise 1,4,Assessment Site,Para-aortic,,,,
Denise,Denise 1,4,Assessment Site,Peritoneal Surface,,,,
Denise,Denise 1,4,Assessment Site,Porta hepatitis,,,,
Denise,Denise 1,5,Test,Basal gnaglia,,,,
Denise,Denise 1,5,Test,Corpus callosum,,,,
Denise,Denise 1,5,Test,Test,,,,
Denise,Denise 1,5,Test,"Third ventricl, NOS",,,,
Denise,Denise 1,6,Site location,Aqueduct of sylvius,,,,
Denise,Denise 1,6,Site location,Basal ganglia,,,,
Denise,Denise 1,6,Site location,Corpus callosum,,,,
Denise,Denise 1,6,Site location,Other,,,,
Denise,Denise 1,7,Site,Aqueduct of sylvius,,,,
Denise,Denise 1,7,Site,Basal ganglia,,,,
Denise,Denise 1,7,Site,Corpus collosum,,,,
Denise,Denise 1,7,Site,Frontal,,,,
Denise,Denise 1,7,Site,Hypothalamus,,,,
Denise,Denise 1,7,Site,Spinal cord,,,,
Denise,Denise 1,7,Site,Temporal lobe,,,,
Denise,Denise 1,7,Site,Third ventricle,,,,
Denise,Denise 1,7,Site,Unknown,,,,
Denise,Denise 1,8,Study Site,1,,,,
Denise,Denise 1,8,Study Site,2,,,,
Denise,Denise 1,8,Study Site,3,,,,
Denise,Denise 1,8,Study Site,4,,,,
Denise,Denise 1,8,Study Site,5,,,,
Denise,Denise 1,8,Study Site,6,,,,
Denise,Denise 1,8,Study Site,7,,,,
Denise,Denise 1,8,Study Site,8,,,,
Denise,Denise 1,8,Study Site,9,,,,
Denise,Denise 1,9,Risk of recurrence,1,,,,
Denise,Denise 1,9,Risk of recurrence,2,,,,
Denise,Denise 1,9,Risk of recurrence,2,,,,
Denise,Denise 1,9,Risk of recurrence,3,,,,
Denise,Denise 1,9,Risk of recurrence,3,,,,
Denise,Denise 1,9,Risk of recurrence,4,,,,
Denise,Denise 1,10,Histology,1,,,,
Denise,Denise 1,10,Histology,2,,,,
Denise,Denise 1,11,Site,,,,,
Denise,Denise 1,12,New Lesions,,,,,
Denise,Denise 1,13,New Lesion Site,,,,,
Denise,Denise 1,14,AE Ongoing,,,,,
Denise,Denise 1,15,Has written consent been obtained,No,,,,
Denise,Denise 1,15,Has written consent been obtained,Yes,,,,
Denise,Denise 1,16,Informed Consent Version,,,,,
Denise,Denise 1,17,Informed Consent Version Date,,,,,
Denise,Denise 1,18,Consented,Agree,,,,
Denise,Denise 1,18,Consented,Disagree,,,,
Denise,Denise 1,18,Consented,Withdraw consent,,,,
Denise,Denise 1,19,Consented,N,,,,
Denise,Denise 1,19,Consented,NA,,,,
Denise,Denise 1,19,Consented,U,,,,
Denise,Denise 1,19,Consented,Y,,,,
Denise,Denise 1,20,Diastolic BP,,,,,
Denise,Denise 1,21,Blood pressure,No,,,,
Denise,Denise 1,21,Blood pressure,Not Applicable,,,,
Denise,Denise 1,21,Blood pressure,Yes,,,,
